wwtp,sample_date,Target,Protein,Load
ARA Altenrhein,2022-11-07,IAV,M,1099873.67756749
ARA Altenrhein,2022-11-07,IBV,M,0
ARA Altenrhein,2022-11-07,RSV,NA,14000608.818586897
ARA Altenrhein,2022-11-07,SARS,N2,160396922.57544917
ARA Altenrhein,2022-11-08,IAV,M,1416769.1810423082
ARA Altenrhein,2022-11-08,IBV,M,0
ARA Altenrhein,2022-11-08,RSV,NA,13284817.457087062
ARA Altenrhein,2022-11-08,SARS,N2,220040890.37256473
ARA Altenrhein,2022-11-10,IAV,M,650729.8855245558
ARA Altenrhein,2022-11-10,IBV,M,0
ARA Altenrhein,2022-11-10,RSV,NA,13771430.634289278
ARA Altenrhein,2022-11-10,SARS,N2,175908624.46307632
ARA Altenrhein,2022-11-12,IAV,M,248872.94668084336
ARA Altenrhein,2022-11-12,IBV,M,0
ARA Altenrhein,2022-11-12,RSV,NA,15018853.968794381
ARA Altenrhein,2022-11-12,SARS,N2,250357358.77162555
ARA Altenrhein,2022-11-13,IAV,M,801909.171797716
ARA Altenrhein,2022-11-13,IBV,M,0
ARA Altenrhein,2022-11-13,RSV,NA,11747050.122010734
ARA Altenrhein,2022-11-13,SARS,N2,146399222.50050473
ARA Altenrhein,2022-11-14,IAV,M,2886027.139133524
ARA Altenrhein,2022-11-14,IBV,M,0
ARA Altenrhein,2022-11-14,RSV,NA,16879468.49926526
ARA Altenrhein,2022-11-14,SARS,N2,163219636.18806437
ARA Altenrhein,2022-11-15,IAV,M,2952906.8360547503
ARA Altenrhein,2022-11-15,IBV,M,0
ARA Altenrhein,2022-11-15,RSV,NA,14724710.694844015
ARA Altenrhein,2022-11-15,SARS,N2,139764053.47698903
ARA Altenrhein,2022-11-17,IAV,M,0
ARA Altenrhein,2022-11-17,IBV,M,0
ARA Altenrhein,2022-11-17,RSV,NA,12632459.286270171
ARA Altenrhein,2022-11-17,SARS,N2,121970465.44326523
ARA Altenrhein,2022-11-19,IAV,M,4445367.729037446
ARA Altenrhein,2022-11-19,IBV,M,0
ARA Altenrhein,2022-11-19,RSV,NA,23350930.13089484
ARA Altenrhein,2022-11-19,SARS,N2,246206921.95020586
ARA Altenrhein,2022-11-20,IAV,M,717919.6810583203
ARA Altenrhein,2022-11-20,IBV,M,0
ARA Altenrhein,2022-11-20,RSV,NA,19311786.48376678
ARA Altenrhein,2022-11-20,SARS,N2,173691436.8226882
ARA Altenrhein,2022-11-21,IAV,M,889740.5947295708
ARA Altenrhein,2022-11-21,IBV,M,0
ARA Altenrhein,2022-11-21,RSV,NA,23362263.543463998
ARA Altenrhein,2022-11-21,SARS,N2,189558771.46375328
ARA Altenrhein,2022-11-22,IAV,M,308043.223963279
ARA Altenrhein,2022-11-22,IBV,M,0
ARA Altenrhein,2022-11-22,RSV,NA,17875315.486272454
ARA Altenrhein,2022-11-22,SARS,N2,168756312.785373
ARA Altenrhein,2022-11-24,IAV,M,264165.0257527844
ARA Altenrhein,2022-11-24,IBV,M,0
ARA Altenrhein,2022-11-24,RSV,NA,8747060.91982797
ARA Altenrhein,2022-11-24,SARS,N2,204347018.96585608
ARA Altenrhein,2022-11-26,IAV,M,1757950.9614507726
ARA Altenrhein,2022-11-26,IBV,M,0
ARA Altenrhein,2022-11-26,RSV,NA,9545245.176770294
ARA Altenrhein,2022-11-26,SARS,N2,206945704.4250321
ARA Altenrhein,2022-11-27,IAV,M,2204990.9365310706
ARA Altenrhein,2022-11-27,IBV,M,0
ARA Altenrhein,2022-11-27,RSV,NA,10920004.071061006
ARA Altenrhein,2022-11-27,SARS,N2,253193017.18008313
ARA Altenrhein,2022-11-28,IAV,M,1590466.3901328403
ARA Altenrhein,2022-11-28,IBV,M,0
ARA Altenrhein,2022-11-28,RSV,NA,13083297.126931632
ARA Altenrhein,2022-11-28,SARS,N2,180267073.26924604
ARA Altenrhein,2022-11-29,IAV,M,3784990.530350563
ARA Altenrhein,2022-11-29,IBV,M,0
ARA Altenrhein,2022-11-29,RSV,NA,28704666.125934664
ARA Altenrhein,2022-11-29,SARS,N2,341312252.3851161
ARA Altenrhein,2022-12-01,IAV,M,2869733.481819169
